Roll,Name,City,Email,Contact
01,Manish,Purnea,manish@gmail.com,8989889800
02,Rahul,Patna,rahul@gmail.com,9123456780
03,Aman,Delhi,aman@gmail.com,9876543210
04,Priya,Kolkata,priya@gmail.com,9012345678
05,Neha,Jaipur,neha@gmail.com,9988776655
06,Rohit,Lucknow,rohit@gmail.com,9090909090
07,Sneha,Mumbai,sneha@gmail.com,9871234567
08,Vikas,Chennai,vikas@gmail.com,9345678901
09,Anjali,Bhopal,anjali@gmail.com,9456789012
10,Sumit,Ranchi,sumit@gmail.com,9567890123
11,Pooja,Indore,pooja@gmail.com,9678901234
12,Karan,Nagpur,karan@gmail.com,9789012345
13,Nisha,Hyderabad,nisha@gmail.com,9890123456
14,Deepak,Surat,deepak@gmail.com,9901234567
15,Kavita,Bengaluru,kavita@gmail.com,9011122233
16,Arjun,Noida,arjun@gmail.com,9122233344
17,Meera,Kanpur,meera@gmail.com,9233344455
18,Sachin,Agra,sachin@gmail.com,9344455566
19,Ritika,Varanasi,ritika@gmail.com,9455566677
20,Akash,Guwahati,akash@gmail.com,9566677788
